SlabId,SlabId
SegmentID,SegmentID
熔炼号,熔炼号
所属流,所属流
suppressSeg,suppressSeg
中包覆盖剂编号,中包覆盖剂编号
C,C
SI,SI
MN,MN
P,P
S,S
CA,CA
AL,AL
CU,CU
NI,NI
MO,MO
NB,NB
V,V
TI,TI
N,N
H,H
SIO2,SIO2
CAO,CAO
MNO,MNO
AL2O3,AL2O3
P2O5,P2O5
CR,CR
大包氩气流量,大包氩气流量
大包氩气压力,大包氩气压力
下渣报警状态,下渣报警状态
中间包内钢水温度,中间包内钢水温度
包盖氩气流量,包盖氩气流量
包盖氩气压力,包盖氩气压力
上水口氩气流量,上水口氩气流量
上水口氩气压力,上水口氩气压力
塞棒氩气流量,塞棒氩气流量
塞棒氩气压力,塞棒氩气压力
滑板氩气流量,滑板氩气流量
滑板氩气压力,滑板氩气压力
结晶器保护渣类型,结晶器保护渣类型
换水口标记,换水口标记
浸入式水口类型,浸入式水口类型
漏钢标识,漏钢标识
结晶器过钢量,结晶器过钢量
结晶器实际液面,结晶器实际液面
结晶器液面波动值,结晶器液面波动值
结晶器宽度,结晶器宽度
结晶器锥度,结晶器锥度
电磁搅拌电流,电磁搅拌电流
电磁搅拌频率,电磁搅拌频率
振动单元实际频率,振动单元实际频率
振动单元实际振幅,振动单元实际振幅
结晶器冷却水温差左窄,结晶器冷却水温差左窄
结晶器冷却水温差右窄,结晶器冷却水温差右窄
结晶器冷却水温差内弧,结晶器冷却水温差内弧
结晶器冷却水温差外弧,结晶器冷却水温差外弧
结晶器冷却水流量左窄,结晶器冷却水流量左窄
结晶器冷却水流量右窄,结晶器冷却水流量右窄
结晶器冷却水流量内弧,结晶器冷却水流量内弧
结晶器冷却水流量外弧,结晶器冷却水流量外弧
结晶器拉速变化率,结晶器拉速变化率
结晶器最小拉速,结晶器最小拉速
结晶器最大拉速,结晶器最大拉速
拉坯长度,拉坯长度
二冷压缩空气总管压力,二冷压缩空气总管压力
二冷水总管温度,二冷水总管温度
二冷水总管压力,二冷水总管压力
一区弧宽面实际水量,一区弧宽面实际水量
一区窄面实际水量,一区窄面实际水量
二区内外弧中部实际水量,二区内外弧中部实际水量
二区内外弧边部实际水量,二区内外弧边部实际水量
三区内外弧中部实际水量,三区内外弧中部实际水量
三区内外弧边部实际水量,三区内外弧边部实际水量
四区内外弧中部实际水量,四区内外弧中部实际水量
四区内外弧边部实际水量,四区内外弧边部实际水量
五区内外弧中部实际水量,五区内外弧中部实际水量
五区内外弧边部实际水量,五区内外弧边部实际水量
六区内弧中部实际水量,六区内弧中部实际水量
六区内弧边部实际水量,六区内弧边部实际水量
六区外弧中部实际水量,六区外弧中部实际水量
六区外弧边部实际水量,六区外弧边部实际水量
七区内弧中部实际水量,七区内弧中部实际水量
七区内弧边部实际水量,七区内弧边部实际水量
七区外弧中部实际水量,七区外弧中部实际水量
七区外弧边部实际水量,七区外弧边部实际水量
八区内弧中部实际水量,八区内弧中部实际水量
八区内弧边部实际水量,八区内弧边部实际水量
八区外弧中部实际水量,八区外弧中部实际水量
八区外弧边部实际水量,八区外弧边部实际水量
九区内弧中部实际水量,九区内弧中部实际水量
九区内弧边部实际水量,九区内弧边部实际水量
九区外弧中部实际水量,九区外弧中部实际水量
九区外弧边部实际水量,九区外弧边部实际水量
,十区内弧中部实际水量
,十区内弧边部实际水量
,十一区内弧中部实际水量
,十一区内弧边部实际水量
二三区二冷气中部实际值,二三区二冷气中部实际值
二三区二冷气边部实际值,二三区二冷气边部实际值
四区二冷气中部实际值,四区二冷气中部实际值
四区二冷气边部实际值,四区二冷气边部实际值
五区二冷气中部实际值,五区二冷气中部实际值
五区二冷气边部实际值,五区二冷气边部实际值
六区二冷气中部实际值,六区二冷气中部实际值
六区二冷气边部实际值,六区二冷气边部实际值
七区二冷气中部实际值,七区二冷气中部实际值
